REFERENCIA,Slug,Price,Regular Price,Stock,Categories,Tags,Registro INVIMA,Advertencia,Beneficios,Width,Height,Depth,Attributes,Modo de Uso,Description
BIOTINA 900 mcg,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2013-0002993,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta biotina, nutriente que contribuye al mantenimiento normal de la piel, el cabello y las uñas.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 1 cápsula blanda al día","Favorecen el metabolismo energético, ayuda al
Mantenimiento de piel y mucosas, función normal del
Sistema nervioso y mantenimiento del cabello.

La Biotina es una vitamina B, que se encuentra en muchos alimentos y ayudan a convertir los carbohidratos,
las grasas y las proteínas que consume, en energía que usted necesita."
CALCIO 400 mg + VITAMINA D3,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2013-0003063,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta calcio y vitamina D3, nutrientes que contribuyen al mantenimiento normal de los huesos, los dientes y al adecuado aprovechamiento del calcio en el organismo.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 2 cápsulas blandas al día","La vitamina D ayuda al cuerpo absorber el
calcio y contribuye al funcionamiento normal del sistema inmune.

Consideraciones:
El Calcio contribuye al mantenimiento normal de los huesos y al funcionamiento normal del sistema nervioso y muscular."
CALOSTRO BOVINO,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2024-0001722-R1,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta calostro bovino, fuente natural de proteínas y compuestos bioactivos que contribuyen a complementar la nutrición y al bienestar del sistema inmune.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 2 cápsulas blandas al día","Fuente natural de proteínas, vitaminas,minerales, ácidos grasos y péptidos bioactivos que contribuyen al soporte nutricional general del organismo.Apoya el equilibrio del sistema inmune y puede favorecer la función digestiva, especialmente en etapas que requieren un mayor aporte nutricional.Contribuye al mantenimiento de la vitalidad y al bienestar general, como parte de una alimentación balanceada."
CLA 1000 mg,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2024-0001728-R1,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta CLA, ácido graso que acompaña el metabolismo de las grasas dentro de una alimentación equilibrada y un estilo de vida saludable.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 2 cápsulas blandas al día",Contribuye al mantenimiento de un peso corporal saludable cuando se acompaña de una alimentación equilibrada y un estilo de vida activo.Apoya el mantenimiento de niveles saludables de colesterol y triglicéridos. Sus componentes pueden favorecer la respuesta inmunológica y contribuir con el bienestar del sistema inflamatorio.
COLÁGENO 500 mg,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2014-0003101,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta colágeno, proteína presente de forma natural en el organismo que forma parte de estructuras como la piel, cartílagos y tejidos conectivos.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 2 cápsulas blandas al día","Juega un papel importante en la construcción del cartílago articular.
Estimula la regeneración de los tejidos, mejora la elasticidad y firmeza de la piel. Ayuda a mantener la masa muscular."
COLÁGENO 200 mg + BIOTINA 900 mcg,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2020-0004523,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta colágeno y biotina, nutrientes que contribuyen al mantenimiento normal de la piel, el cabello y las uñas.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 1 cápsula blanda al día","Es una vitamina que se usa para el fortalecimiento del cabello y las uñas frágiles. Juega un papel importante en la construcción del cartílago articular. Estimula la regeneración de los tejidos, mejora la elasticidad y firmeza de la piel. Ayuda a mantener la masa muscular. Aporta vitalidad al organismo."
COMPLEJO B + ZINC + VITAMINA D3 (blanco),No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2017-0004113,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta vitaminas del complejo B, zinc y vitamina D3, nutrientes que contribuyen al metabolismo energético normal y al funcionamiento normal del sistema nervioso e inmune.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 2 cápsulas blandas al día","Contribuye al metabolismo energético y sistema nervioso normal, ayuda a sobreponerse del desgaste energético. Contribuye a la formación normal de glóbulos rojos. Apoya el metabolismo normal de azúcares, grasas y proteínas. "
"FIBRA DE NARANJA, ESPIRULINA, VITAMINA C, VITAMINA A Y L-CARNITINA",No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2024-0001759 - R1,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.",Con fibra de naranja que acompaña el bienestar digestivo. Espirulina fuente natural de nutrientes. Vitamina C que contribuye al funcionamiento normal del sistema inmune. Vitamina A que contribuye al mantenimiento normal de la visión. L-carnitina que participa en el metabolismo energético.,,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 2 cápsulas blandas al día","Contribuye al mantenimiento de una
función intestinal saludable y favorece el
tránsito digestivo.
Actúa como fuente de antioxidantes, apoya el funcionamiento
normal del sistema inmune y contribuye al mantenimiento de
la salud visual, así como al desarrollo normal de huesos,
dientes y tejidos blandos.
Favorece el metabolismo energético y apoya el rendimiento
físico, la recuperación después de la actividad y el
mantenimiento de un peso corporal saludable, cuando se
acompaña de una alimentación balanceada y actividad física
regular."
GLUTATIÓN,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2024-0004811,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta glutatión, antioxidante presente de forma natural en el organismo y que participa en los procesos naturales de protección y equilibrio celular del organismo.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 2 cápsulas blandas al día","Actúa como un potente antioxidante,ayudando a contrarrestar el estrés oxidativo y contribuyendo a la protección celular frente a los radicales libres.Su función en los procesos de detoxificación celular apoya el equilibrio y la depuración del organismo, lo que favorece el bienestar general y la salud integral.Contribuye al funcionamiento normal del sistema nervioso y al equilibrio de los procesos metabólicos relacionados con el envejecimiento celular."
ISOFLAVONA DE SOYA 16 mg + CALCIO + VITAMINA D3,No lo hagas.,,,mas de 500 unidades,Suplemento Dietario ,,SD2016-0003814,"Este producto es un suplemento dietario, no es un medicamento y no suple una alimentación equilibrada.

Puede causar hipersensibilidad.

No consumir en estado de embarazo y lactancia.

Mantener fuera del alcance de los niños.

Almacenar a temperatura inferior a 30°C y humedad relativa menor a 75%.","Aporta Isoflavonas de soya, compuestos vegetales que acompañan el bienestar general. Calcio, que contribuye al mantenimiento normal de los huesos y dientes. Vitamina D3 que contribuye a la absorción y utilización normal del calcio.",,,,Cantidad x 60 cápsulas blandas,"Adultos, tomar 1 cápsula blanda al día","Isoflavonas de soya, compuestos de origen vegetal asociados al bienestar femenino, además acompañan durante etapas de cambios hormonales como la menopausia. Contiene calcio y vitamina D3, nutrientes importantes para el mantenimiento normal de los huesos. La vitamina D3 favorece el adecuado aprovechamiento del calcio en el organismo. "
